Symbol,Name,Date,Beta,PBR,MarketCap,Momentum1M,Momentum3M,Momentum6M,Momentum12M,Volatility,RSI,MACD,Signal,MACD_Hist,Sector,Industry,Beta_Factor,Value_Factor,Size_Factor,Momentum_Factor,Volatility_Factor,weighted_score,factor_percentile,smart_signal,signal_strength,rebalance_priority,to_rebalance
TSLA,Tesla Inc.,2016-02-04,1.87,17.43,1394.85,-21.52,-24.31,-34.16,-19.78,40.7,24.29,-0.71,-0.59,-0.13,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.125,-1,-0.55,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2016-02-04,0.43,3.09,295.56,-1.94,0.05,-4.68,7.55,24.37,57.7,-0.23,-0.45,0.22,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2016-02-05,1.11,55.49,4110.34,-7.96,-21.82,-17.36,-20.16,26.84,45.24,-0.6,-0.67,0.08,Technology,Consumer Electronics,-0.5,-1,-0.875,0.25,-0.25,-0.475,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2016-02-05,1.37,6.64,2455.22,-20.77,-23.41,-6.5,34.3,34.86,36.39,-1.32,-0.99,-0.34,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,0.875,-0.875,-0.3,0.5625,NEUTRAL,MEDIUM,4.5,0
GOOGL,Alphabet Inc.,2016-02-05,1.08,10.1,3917.54,-7.59,-7.48,4.53,32.83,27.44,48.36,-0.19,-0.16,-0.03,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.5,-0.3,0.5625,NEUTRAL,MEDIUM,4.5,0
META,Meta Platforms Inc.,2016-02-05,1.27,8.26,1603.61,1.3,-4.31,7.91,37.64,30.07,61.1,2.25,1,1.25,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,1,-0.625,-0.2,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2016-02-05,1.06,9.77,3545.55,-8.88,-7.14,6.83,21.38,27.17,46.91,-0.4,-0.38,-0.02,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.5,-0.375,-0.25,0.75,BUY,MEDIUM,3,1
NVDA,NVIDIA Corporation,2016-02-05,2.27,36.35,4321.92,-19.64,-4.26,29.46,31.13,33.26,44.94,-0.02,-0.02,0,Technology,Semiconductors,-1,-0.875,-1,0.625,-0.75,-0.6,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2016-02-05,1.87,17.43,1394.85,-27.23,-29.84,-39.81,-26.42,41.08,20.37,-0.8,-0.63,-0.17,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.125,-1,-0.55,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2016-02-05,0.43,3.09,295.56,-4.25,-3.47,-9.06,4.34,24.41,55.25,-0.34,-0.43,0.09,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2016-02-08,1.11,55.49,4110.34,-1.48,-21.09,-16.95,-18.63,26.82,47.96,-0.57,-0.65,0.08,Technology,Consumer Electronics,-0.5,-1,-0.875,0.25,-0.25,-0.475,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2016-02-08,1.37,6.64,2455.22,-19.59,-25.97,-6.61,30.41,34.9,33.37,-1.52,-1.09,-0.43,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,0.75,-0.875,-0.325,0.5,NEUTRAL,MEDIUM,5,0
GOOGL,Alphabet Inc.,2016-02-08,1.08,10.1,3917.54,-3.66,-7.54,5.99,31.89,27.4,46.2,-0.31,-0.19,-0.13,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.875,-0.5,-0.275,0.625,NEUTRAL,MEDIUM,4,0
META,Meta Platforms Inc.,2016-02-08,1.27,8.26,1603.61,2.49,-6.86,5.78,33.95,30.24,54.99,1.56,1.12,0.45,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,1,-0.625,-0.2,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2016-02-08,1.06,9.77,3545.55,-5.58,-9.43,7.13,19.68,27.17,45.81,-0.57,-0.41,-0.15,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.5,-0.375,-0.25,0.75,BUY,MEDIUM,3,1
NVDA,NVIDIA Corporation,2016-02-08,2.27,36.35,4321.92,-14.88,-19.76,10.63,25.68,33.44,36.32,-0.03,-0.02,0,Technology,Semiconductors,-1,-0.875,-1,0.625,-0.75,-0.6,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2016-02-08,1.87,17.43,1394.85,-29.86,-36.31,-38.98,-31.91,41.69,16.97,-0.94,-0.69,-0.25,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.125,-1,-0.55,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2016-02-08,0.43,3.09,295.56,-0.13,-3.76,-8.9,3.92,24.42,44.11,-0.55,-0.45,-0.09,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2016-02-09,1.11,55.49,4110.34,-1.5,-20.79,-16.97,-19.19,26.78,47.68,-0.55,-0.63,0.09,Technology,Consumer Electronics,-0.5,-1,-0.875,0.25,-0.25,-0.475,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2016-02-09,1.37,6.64,2455.22,-20.59,-26.46,-7.76,30.09,34.87,32.95,-1.68,-1.21,-0.47,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,0.75,-0.875,-0.325,0.5,NEUTRAL,MEDIUM,5,0
GOOGL,Alphabet Inc.,2016-02-09,1.08,10.1,3917.54,-4.09,-7.12,5.51,32.45,27.37,45.6,-0.42,-0.24,-0.19,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.875,-0.5,-0.275,0.625,NEUTRAL,MEDIUM,4,0
META,Meta Platforms Inc.,2016-02-09,1.27,8.26,1603.61,2.27,-6.53,5.56,33.72,30.2,55.86,0.99,1.09,-0.1,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,1,-0.625,-0.2,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2016-02-09,1.06,9.77,3545.55,-5.83,-8.4,6.84,19.5,27.13,44.46,-0.7,-0.47,-0.23,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.5,-0.375,-0.25,0.75,BUY,MEDIUM,3,1
NVDA,NVIDIA Corporation,2016-02-09,2.27,36.35,4321.92,-13.97,-18.54,11.81,27.15,33.41,37.29,-0.03,-0.02,-0.01,Technology,Semiconductors,-1,-0.875,-1,0.625,-0.75,-0.6,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2016-02-09,1.87,17.43,1394.85,-29.74,-34.21,-38.87,-31.83,41.63,18.51,-1.04,-0.76,-0.28,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.125,-1,-0.55,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2016-02-09,0.43,3.09,295.56,0.91,-2.29,-7.96,6.09,24.39,41.21,-0.62,-0.49,-0.13,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2016-02-10,1.11,55.49,4110.34,-2.25,-18.83,-20.49,-21.31,26.75,47.29,-0.53,-0.61,0.08,Technology,Consumer Electronics,-0.5,-1,-0.875,0.25,-0.25,-0.475,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2016-02-10,1.37,6.64,2455.22,-19.2,-25.65,-6.4,31.5,34.84,34.24,-1.76,-1.32,-0.44,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,0.875,-0.875,-0.3,0.5625,NEUTRAL,MEDIUM,4.5,0
GOOGL,Alphabet Inc.,2016-02-10,1.08,10.1,3917.54,-3.29,-6.78,6.59,30.86,27.34,44.97,-0.48,-0.28,-0.2,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.5,-0.3,0.5625,NEUTRAL,MEDIUM,4.5,0
META,Meta Platforms Inc.,2016-02-10,1.27,8.26,1603.61,3.77,-6.4,7.28,34.33,30.18,57.5,0.64,1,-0.36,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,1,-0.625,-0.2,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2016-02-10,1.06,9.77,3545.55,-5.01,-6.48,6.43,19.87,27.1,47.2,-0.77,-0.53,-0.24,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.5,-0.375,-0.25,0.75,BUY,MEDIUM,3,1
NVDA,NVIDIA Corporation,2016-02-10,2.27,36.35,4321.92,-14.17,-17.15,7.8,23.4,33.36,34.35,-0.03,-0.02,-0.01,Technology,Semiconductors,-1,-0.875,-1,0.625,-0.75,-0.6,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2016-02-10,1.87,17.43,1394.85,-31.91,-33.64,-40.42,-33.58,41.65,16.26,-1.13,-0.84,-0.29,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.125,-1,-0.55,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2016-02-10,0.43,3.09,295.56,2.34,-2.3,-7.15,5.15,24.39,48.19,-0.56,-0.5,-0.06,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2016-02-11,1.11,55.49,4110.34,-4.39,-18.86,-16.63,-23.58,26.72,34.61,-0.53,-0.6,0.07,Technology,Consumer Electronics,-0.5,-1,-0.875,0.25,-0.25,-0.475,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2016-02-11,1.37,6.64,2455.22,-18.44,-25.17,-4.48,34.3,34.86,32.21,-1.74,-1.41,-0.34,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.875,-0.275,0.625,NEUTRAL,MEDIUM,4,0
GOOGL,Alphabet Inc.,2016-02-11,1.08,10.1,3917.54,-3.64,-7.7,2.33,31.29,27.3,39.05,-0.52,-0.33,-0.19,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.5,-0.3,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2016-02-11,1.27,8.26,1603.61,4.51,-6.51,8.85,33.2,30.14,54.65,0.44,0.89,-0.45,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.875,-0.625,-0.225,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2016-02-11,1.06,9.77,3545.55,-4.99,-6.76,8.5,20.44,27.06,39.13,-0.81,-0.59,-0.23,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.5,-0.375,-0.25,0.75,BUY,MEDIUM,3,1
NVDA,NVIDIA Corporation,2016-02-11,2.27,36.35,4321.92,-14.76,-16.76,7.79,23.59,33.32,27.66,-0.03,-0.03,-0.01,Technology,Semiconductors,-1,-0.875,-1,0.625,-0.75,-0.6,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2016-02-11,1.87,17.43,1394.85,-27.61,-31.32,-36.61,-29.29,41.78,20.29,-1.15,-0.9,-0.25,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.125,-1,-0.55,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2016-02-11,0.43,3.09,295.56,0.95,-3.01,-8.74,2.34,24.41,41.66,-0.66,-0.53,-0.12,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2016-02-12,1.11,55.49,4110.34,-5.46,-18.34,-17.65,-24.3,26.69,38.64,-0.51,-0.58,0.07,Technology,Consumer Electronics,-0.5,-1,-0.875,0.25,-0.25,-0.475,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2016-02-12,1.37,6.64,2455.22,-17.93,-23.82,-3.58,34.44,34.82,33.01,-1.7,-1.46,-0.23,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.875,-0.275,0.625,NEUTRAL,MEDIUM,4,0
GOOGL,Alphabet Inc.,2016-02-12,1.08,10.1,3917.54,-5.16,-6.56,2.23,29.46,27.26,42.01,-0.55,-0.37,-0.17,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.5,-0.3,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2016-02-12,1.27,8.26,1603.61,2.66,-5.56,8.3,33.82,30.1,55.97,0.28,0.77,-0.49,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.875,-0.625,-0.225,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2016-02-12,1.06,9.77,3545.55,-4.32,-4.65,9.49,20.39,27.06,44.74,-0.78,-0.63,-0.16,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.625,-0.375,-0.225,0.75,BUY,MEDIUM,3,1
NVDA,NVIDIA Corporation,2016-02-12,2.27,36.35,4321.92,-14.74,-15.04,9.34,17.29,33.3,31.95,-0.03,-0.03,0,Technology,Semiconductors,-1,-0.875,-1,0.5,-0.75,-0.625,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2016-02-12,1.87,17.43,1394.85,-28.07,-29.07,-36.58,-25.55,41.73,22.37,-1.15,-0.95,-0.2,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.125,-1,-0.55,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2016-02-12,0.43,3.09,295.56,-0.39,-0.46,-6.94,3.46,24.39,46.53,-0.64,-0.55,-0.09,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2016-02-16,1.11,55.49,4110.34,0.04,-14.9,-15.85,-22.54,26.75,44.08,-0.45,-0.55,0.11,Technology,Consumer Electronics,-0.5,-1,-0.875,0.25,-0.25,-0.475,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2016-02-16,1.37,6.64,2455.22,-8.61,-19.56,-1.96,36.47,34.84,35.3,-1.59,-1.49,-0.1,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.875,-0.275,0.625,NEUTRAL,MEDIUM,4,0
GOOGL,Alphabet Inc.,2016-02-16,1.08,10.1,3917.54,1.01,-4.37,4.1,30.21,27.25,45.46,-0.52,-0.4,-0.11,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.5,-0.3,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2016-02-16,1.27,8.26,1603.61,6.99,-2.34,7.61,34.16,30.06,55.09,0.12,0.64,-0.52,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.875,-0.625,-0.225,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2016-02-16,1.06,9.77,3545.55,0.92,-3.66,10.95,20.49,27.07,47.22,-0.68,-0.64,-0.05,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.5,-0.375,-0.25,0.75,BUY,MEDIUM,3,1
NVDA,NVIDIA Corporation,2016-02-16,2.27,36.35,4321.92,-0.44,-10.88,15.58,22.98,33.49,39.86,-0.03,-0.03,0,Technology,Semiconductors,-1,-0.875,-1,0.625,-0.75,-0.6,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2016-02-16,1.87,17.43,1394.85,-24.3,-27.6,-36.18,-23.85,41.74,26.97,-1.12,-0.98,-0.13,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.125,-1,-0.55,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2016-02-16,0.43,3.09,295.56,5.38,1.61,-4.03,6.94,24.47,52.36,-0.39,-0.52,0.13,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2016-02-17,1.11,55.49,4110.34,1.57,-13.23,-15.44,-21.82,26.75,63.93,-0.36,-0.52,0.15,Technology,Consumer Electronics,-0.5,-1,-0.875,0.125,-0.25,-0.5,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2016-02-17,1.37,6.64,2455.22,-6.33,-16.97,-0.21,42.26,34.85,40.8,-1.43,-1.48,0.05,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.875,-0.275,0.625,NEUTRAL,MEDIUM,4,0
GOOGL,Alphabet Inc.,2016-02-17,1.08,10.1,3917.54,3.02,-1.88,5.45,34.3,27.26,54.09,-0.43,-0.41,-0.02,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.5,-0.3,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2016-02-17,1.27,8.26,1603.61,10.77,0.07,12,39.15,30.16,62.6,0.28,0.57,-0.29,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.875,-0.625,-0.225,0.875,BUY,MEDIUM,2,1
MSFT,Microsoft Corporation,2016-02-17,1.06,9.77,3545.55,3.54,-0.33,13.07,23.57,27.11,55.95,-0.5,-0.61,0.11,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.5,-0.375,-0.25,0.75,BUY,MEDIUM,3,1
NVDA,NVIDIA Corporation,2016-02-17,2.27,36.35,4321.92,2.03,-8.67,19.2,25.64,33.5,46,-0.02,-0.03,0,Technology,Semiconductors,-1,-0.875,-1,0.625,-0.75,-0.6,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2016-02-17,1.87,17.43,1394.85,-17.71,-21.18,-33.85,-17.46,42.31,39.39,-1.01,-0.99,-0.02,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.25,-1,-0.525,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2016-02-17,0.43,3.09,295.56,8.26,3.86,-3.63,9.54,24.54,61.16,0.02,-0.41,0.43,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2016-02-18,1.11,55.49,4110.34,-0.36,-17.48,-16.57,-23.83,26.76,56.74,-0.33,-0.48,0.15,Technology,Consumer Electronics,-0.5,-1,-0.875,0.125,-0.25,-0.5,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2016-02-18,1.37,6.64,2455.22,-7.92,-20.88,-1.87,40.61,34.83,25.45,-1.33,-1.45,0.12,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.875,-0.275,0.625,NEUTRAL,MEDIUM,4,0
GOOGL,Alphabet Inc.,2016-02-18,1.08,10.1,3917.54,0.99,-5.59,4.18,32.22,27.28,40.36,-0.42,-0.41,-0.01,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.625,-0.5,-0.325,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2016-02-18,1.27,8.26,1603.61,8.95,-3.99,8.72,34.88,30.15,40.51,0.26,0.51,-0.24,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.75,-0.625,-0.25,0.8125,BUY,MEDIUM,2.5,1
MSFT,Microsoft Corporation,2016-02-18,1.06,9.77,3545.55,3.09,-2.39,11.95,23.17,27.08,52,-0.37,-0.56,0.19,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.5,-0.375,-0.25,0.8125,BUY,MEDIUM,2.5,1
NVDA,NVIDIA Corporation,2016-02-18,2.27,36.35,4321.92,10.81,-3.19,30.65,38.06,34.18,59.19,-0.02,-0.02,0.01,Technology,Semiconductors,-1,-0.875,-1,0.875,-0.75,-0.55,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2016-02-18,1.87,17.43,1394.85,-18.64,-24.56,-36.03,-18.43,42.26,37.49,-0.92,-0.97,0.06,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.25,-1,-0.525,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2016-02-18,0.43,3.09,295.56,7.49,0.6,-5.6,8.74,24.51,61.39,0.29,-0.27,0.56,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2016-02-19,1.11,55.49,4110.34,-0.1,-18.71,-15.68,-23.85,26.72,47.7,-0.3,-0.44,0.14,Technology,Consumer Electronics,-0.5,-1,-0.875,0.125,-0.25,-0.5,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2016-02-19,1.37,6.64,2455.22,-6.89,-19.11,0.37,41.13,34.82,36.02,-1.2,-1.4,0.2,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.875,-0.275,0.6875,NEUTRAL,MEDIUM,3.5,0
GOOGL,Alphabet Inc.,2016-02-19,1.08,10.1,3917.54,0.42,-4.98,4.04,32.15,27.24,37.03,-0.38,-0.4,0.02,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.5,-0.3,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2016-02-19,1.27,8.26,1603.61,9.77,-1.59,9.72,31.67,30.12,36.22,0.34,0.47,-0.14,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.625,-0.625,-0.275,0.6875,NEUTRAL,MEDIUM,3.5,0
MSFT,Microsoft Corporation,2016-02-19,1.06,9.77,3545.55,3.23,-3.24,12.73,22.38,27.05,35.47,-0.29,-0.51,0.22,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.5,-0.375,-0.25,0.875,BUY,MEDIUM,2,1
NVDA,NVIDIA Corporation,2016-02-19,2.27,36.35,4321.92,11.38,-2.19,32.91,39.52,34.15,55.76,-0.01,-0.02,0.01,Technology,Semiconductors,-1,-0.875,-1,0.875,-0.75,-0.55,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2016-02-19,1.87,17.43,1394.85,-18.63,-24.9,-34.74,-21.32,42.21,36.37,-0.84,-0.95,0.11,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.25,-1,-0.525,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2016-02-19,0.43,3.09,295.56,4.53,6.83,-3.67,8.7,24.48,55.45,0.51,-0.12,0.63,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2016-02-22,1.11,55.49,4110.34,-3.96,-18.35,-7.51,-23.8,26.69,52.89,-0.26,-0.4,0.15,Technology,Consumer Electronics,-0.5,-1,-0.875,0.125,-0.25,-0.5,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2016-02-22,1.37,6.64,2455.22,-6.18,-16.3,13.15,45.83,34.96,46.15,-0.98,-1.31,0.34,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.875,-0.275,0.6875,NEUTRAL,MEDIUM,3.5,0
GOOGL,Alphabet Inc.,2016-02-22,1.08,10.1,3917.54,-2.2,-6.17,13.2,34.56,27.22,35.98,-0.32,-0.39,0.07,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.5,-0.3,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2016-02-22,1.27,8.26,1603.61,9.41,-0.15,24.52,34.12,30.14,35.55,0.59,0.5,0.1,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.625,-0.625,-0.275,0.6875,NEUTRAL,MEDIUM,3.5,0
MSFT,Microsoft Corporation,2016-02-22,1.06,9.77,3545.55,1.41,-2.14,23.95,23.32,27.04,41.93,-0.17,-0.44,0.27,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.5,-0.375,-0.25,0.875,BUY,MEDIUM,2,1
NVDA,NVIDIA Corporation,2016-02-22,2.27,36.35,4321.92,10.79,0.41,47.37,43.43,34.21,60.04,0,-0.02,0.02,Technology,Semiconductors,-1,-0.875,-1,0.875,-0.75,-0.55,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2016-02-22,1.87,17.43,1394.85,-12.25,-19.21,-22.98,-18.13,42.52,39.97,-0.71,-0.9,0.19,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.25,-1,-0.525,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2016-02-22,0.43,3.09,295.56,6.07,7.81,5.19,9.44,24.57,60.36,0.92,0.09,0.83,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2016-02-23,1.11,55.49,4110.34,-6.13,-19.15,-9.6,-27.48,26.72,52.11,-0.26,-0.38,0.11,Technology,Consumer Electronics,-0.5,-1,-0.875,0.125,-0.25,-0.5,0.375,NEUTRAL,MEDIUM,6,0
AMZN,Amazon.com Inc.,2016-02-23,1.37,6.64,2455.22,-7.28,-18.56,11.82,45.46,34.93,50.23,-0.82,-1.22,0.39,Consumer Cyclical,Internet Retail,-0.75,-0.25,-0.5,1,-0.875,-0.275,0.6875,NEUTRAL,MEDIUM,3.5,0
GOOGL,Alphabet Inc.,2016-02-23,1.08,10.1,3917.54,-3.78,-7.65,11.38,34.07,27.22,28.85,-0.32,-0.37,0.06,Communication Services,Internet Content & Information,-0.375,-0.625,-0.75,0.75,-0.5,-0.3,0.5,NEUTRAL,MEDIUM,5,0
META,Meta Platforms Inc.,2016-02-23,1.27,8.26,1603.61,7.68,-1.39,22.54,33.76,30.13,34.03,0.65,0.53,0.13,Communication Services,Internet Content & Information,-0.625,-0.375,-0.375,0.625,-0.625,-0.275,0.6875,NEUTRAL,MEDIUM,3.5,0
MSFT,Microsoft Corporation,2016-02-23,1.06,9.77,3545.55,-1.42,-4.88,20.49,19.09,27.11,42.88,-0.17,-0.39,0.21,Technology,Software - Infrastructure,-0.25,-0.5,-0.625,0.5,-0.375,-0.25,0.875,BUY,MEDIUM,2,1
NVDA,NVIDIA Corporation,2016-02-23,2.27,36.35,4321.92,11.07,2.2,47.74,44.96,34.17,67.88,0.01,-0.01,0.02,Technology,Semiconductors,-1,-0.875,-1,0.875,-0.75,-0.55,0.125,SELL,MEDIUM,8,1
TSLA,Tesla Inc.,2016-02-23,1.87,17.43,1394.85,-12.51,-18.62,-23.21,-14.53,42.46,46.61,-0.6,-0.84,0.24,Consumer Cyclical,Auto Manufacturers,-0.875,-0.75,-0.25,0.25,-1,-0.525,0.25,SELL,MEDIUM,7,1
UNH,UnitedHealth Group Inc.,2016-02-23,0.43,3.09,295.56,5.97,8.48,5.09,5.78,24.53,65.1,1.23,0.32,0.91,Healthcare,Healthcare Plans,-0.125,-0.125,-0.125,0.375,-0.125,-0.025,1,BUY,STRONG,1,1
AAPL,Apple Inc.,2016-02-24,1.11,55.49,4110.34,-4.73,-18.72,-5.9,-25.94,26.71,50.81,-0.24,-0.35,0.11,Technology,Consumer Electronics,-0.5,-1,-0.875,0.125,-0.25,-0.5,0.375,NEUTRAL,MEDIUM,6,0
