Symbol,Name,Date,Close,Volume,Beta,PBR,MarketCap,Momentum1M,Momentum3M,Momentum6M,Momentum12M,Volatility,RSI,MACD,Signal,MACD_Hist,Sector,Industry,Beta_Factor,Value_Factor,Size_Factor,Momentum_Factor,Volatility_Factor,weighted_score,factor_percentile,smart_signal,signal_strength,rebalance_priority,to_rebalance,Mkt_RF,SMB,HML,RMW,CMA
META,Meta Platforms Inc.,2013-06-12,23.61,26445800,0.44,8.54,51.41,-11.37,-12.22,-14.62,-12.29,35.85,39.64,-0.74,-0.77,0.03,Communication Services,Internet Content & Information,0.875,0.75,0.5,0.25,0.125,0.4750000000000001,62.5,BUY,MEDIUM,47.50000000000001,0,-0.008199999999999999,0.0006,-0.0006,0.0029,0.0013
MSFT,Microsoft Corporation,2013-06-12,28.62,37372700,1.08,9.75,212.71,6.71,26.24,31.91,21.64,19.41,53.8,0.61,0.73,-0.12,Technology,Software - Infrastructure,0.5,0.125,0.25,0.625,0.75,0.48750000000000004,81.25,STRONG_BUY,HIGH,48.75000000000001,1,-0.008199999999999999,0.0006,-0.0006,0.0029,0.0013
NVDA,NVIDIA Corporation,2013-06-12,0.33,312588000,1.29,36.33,7.97,-0.83,10.84,14.95,17.98,24.8,40.33,0.0,0.01,-0.0,Technology,Semiconductors,0.0,0.5,0.875,0.5,0.25,0.3875,12.5,STRONG_SELL,HIGH,38.75,1,-0.008199999999999999,0.0006,-0.0006,0.0029,0.0013
TSLA,Tesla Inc.,2013-06-12,6.52,137890500,1.23,20.36,21.67,11.31,150.72,182.7,224.9,112.1,58.49,0.53,0.65,-0.12,Consumer Cyclical,Auto Manufacturers,0.125,0.625,0.375,1.0,0.0,0.48750000000000004,81.25,STRONG_BUY,HIGH,48.75000000000001,1,-0.008199999999999999,0.0006,-0.0006,0.0029,0.0013
UNH,UnitedHealth Group Inc.,2013-06-12,52.02,3891100,0.75,3.16,47.12,2.31,17.16,18.25,11.78,20.49,59.11,0.5,0.5,0.0,Healthcare,Healthcare Plans,0.75,0.0,0.75,0.375,0.5,0.4375,37.5,SELL,MEDIUM,43.75,0,-0.008199999999999999,0.0006,-0.0006,0.0029,0.0013
AAPL,Apple Inc.,2013-06-13,13.36,285832400,1.08,55.02,197.35,-1.78,1.47,-18.47,-22.03,20.28,43.65,-0.0,0.05,-0.06,Technology,Consumer Electronics,0.375,0.875,0.0,0.125,0.625,0.41250000000000003,25.0,SELL,MEDIUM,41.25,0,0.0147,0.0013,0.0033,-0.002,0.0029
AMZN,Amazon.com Inc.,2013-06-13,13.79,52996000,1.17,6.43,147.41,2.78,3.78,10.01,27.39,21.11,66.11,0.16,0.12,0.04,Consumer Cyclical,Internet Retail,0.25,0.375,0.5,0.75,0.375,0.475,62.5,BUY,MEDIUM,47.5,0,0.0147,0.0013,0.0033,-0.002,0.0029
GOOGL,Alphabet Inc.,2013-06-13,21.78,82713204,0.92,9.57,126.73,-1.14,6.75,25.85,54.27,19.28,47.1,0.14,0.2,-0.06,Communication Services,Internet Content & Information,0.625,0.5,0.125,0.875,0.75,0.65,100.0,STRONG_BUY,HIGH,65.0,1,0.0147,0.0013,0.0033,-0.002,0.0029
META,Meta Platforms Inc.,2013-06-13,23.57,31189300,0.44,8.54,51.32,-12.34,-12.24,-15.19,-12.14,35.8,40.0,-0.71,-0.76,0.05,Communication Services,Internet Content & Information,0.875,0.75,0.375,0.25,0.125,0.4625,50.0,NEUTRAL,MEDIUM,46.25,0,0.0147,0.0013,0.0033,-0.002,0.0029
MSFT,Microsoft Corporation,2013-06-13,28.39,45654900,1.04,9.75,211.0,3.55,24.25,29.04,23.8,19.22,55.76,0.55,0.69,-0.15,Technology,Software - Infrastructure,0.5,0.125,0.25,0.625,0.875,0.5125,81.25,STRONG_BUY,HIGH,51.24999999999999,1,0.0147,0.0013,0.0033,-0.002,0.0029
NVDA,NVIDIA Corporation,2013-06-13,0.34,236256000,1.32,36.33,8.15,-0.05,13.28,14.87,19.29,25.41,43.16,0.0,0.0,-0.0,Technology,Semiconductors,0.0,0.25,0.875,0.5,0.25,0.33749999999999997,12.5,STRONG_SELL,HIGH,33.75,1,0.0147,0.0013,0.0033,-0.002,0.0029
TSLA,Tesla Inc.,2013-06-13,6.55,89424000,1.2,20.36,21.77,17.95,166.43,178.29,237.16,111.73,54.81,0.5,0.62,-0.12,Consumer Cyclical,Auto Manufacturers,0.125,0.625,0.625,1.0,0.0,0.5125,81.25,STRONG_BUY,HIGH,51.24999999999999,1,0.0147,0.0013,0.0033,-0.002,0.0029
UNH,UnitedHealth Group Inc.,2013-06-13,52.51,4379500,0.75,3.16,47.56,4.38,17.73,18.12,13.9,20.52,61.47,0.56,0.51,0.05,Healthcare,Healthcare Plans,0.75,0.0,0.75,0.375,0.5,0.4375,37.5,SELL,MEDIUM,43.75,0,0.0147,0.0013,0.0033,-0.002,0.0029
AAPL,Apple Inc.,2013-06-14,13.17,271866000,1.08,55.02,194.67,0.28,-2.43,-19.22,-23.76,20.2,35.37,-0.03,0.04,-0.07,Technology,Consumer Electronics,0.375,0.875,0.0,0.125,0.625,0.41250000000000003,25.0,SELL,MEDIUM,41.25,0,-0.0059,-0.0027,-0.005600000000000001,0.0018,-0.0003
AMZN,Amazon.com Inc.,2013-06-14,13.7,43016000,1.18,6.43,146.45,2.79,4.65,8.83,26.6,20.89,63.56,0.16,0.13,0.03,Consumer Cyclical,Internet Retail,0.25,0.125,0.625,0.75,0.375,0.4375,43.75,NEUTRAL,MEDIUM,43.75,0,-0.0059,-0.0027,-0.005600000000000001,0.0018,-0.0003
GOOGL,Alphabet Inc.,2013-06-14,21.73,89710200,0.93,9.57,126.45,-4.46,7.46,25.44,54.85,19.14,50.93,0.13,0.19,-0.06,Communication Services,Internet Content & Information,0.625,0.375,0.125,0.875,0.875,0.65,100.0,STRONG_BUY,HIGH,65.0,1,-0.0059,-0.0027,-0.005600000000000001,0.0018,-0.0003
META,Meta Platforms Inc.,2013-06-14,23.47,30677100,0.43,8.54,51.11,-11.17,-11.33,-14.32,-13.76,30.83,44.33,-0.68,-0.74,0.06,Communication Services,Internet Content & Information,0.875,0.75,0.375,0.25,0.125,0.4625,62.5,BUY,MEDIUM,46.25,0,-0.0059,-0.0027,-0.005600000000000001,0.0018,-0.0003
MSFT,Microsoft Corporation,2013-06-14,28.13,53192600,1.04,9.75,209.06,1.62,23.54,28.22,21.03,19.2,51.26,0.47,0.65,-0.18,Technology,Software - Infrastructure,0.5,0.25,0.25,0.625,0.75,0.5125000000000001,87.5,STRONG_BUY,HIGH,51.25000000000001,1,-0.0059,-0.0027,-0.005600000000000001,0.0018,-0.0003
NVDA,NVIDIA Corporation,2013-06-14,0.33,236012000,1.31,36.33,8.14,-1.89,14.11,15.91,16.75,25.26,44.81,0.0,0.0,-0.0,Technology,Semiconductors,0.0,0.5,0.875,0.5,0.25,0.3875,12.5,STRONG_SELL,HIGH,38.75,1,-0.0059,-0.0027,-0.005600000000000001,0.0018,-0.0003
TSLA,Tesla Inc.,2013-06-14,6.69,98470500,1.19,20.36,22.24,18.22,184.22,184.46,238.17,111.71,52.96,0.48,0.59,-0.11,Consumer Cyclical,Auto Manufacturers,0.125,0.625,0.5,1.0,0.0,0.5,75.0,BUY,MEDIUM,50.0,0,-0.0059,-0.0027,-0.005600000000000001,0.0018,-0.0003
UNH,UnitedHealth Group Inc.,2013-06-14,52.22,3122600,0.75,3.16,47.3,4.01,17.09,16.43,12.53,20.57,61.12,0.57,0.52,0.05,Healthcare,Healthcare Plans,0.75,0.0,0.75,0.375,0.5,0.4375,43.75,NEUTRAL,MEDIUM,43.75,0,-0.0059,-0.0027,-0.005600000000000001,0.0018,-0.0003
AAPL,Apple Inc.,2013-06-17,13.23,259414400,1.08,55.02,195.56,-0.59,-4.58,-17.42,-22.88,20.0,40.53,-0.04,0.02,-0.06,Technology,Consumer Electronics,0.375,0.875,0.0,0.125,0.625,0.41250000000000003,25.0,SELL,MEDIUM,41.25,0,0.0073,-0.0006,0.0012,-0.0026,-0.0034999999999999996
AMZN,Amazon.com Inc.,2013-06-17,13.9,57680000,1.19,6.43,148.63,5.28,7.82,10.67,29.49,20.44,62.33,0.17,0.14,0.03,Consumer Cyclical,Internet Retail,0.1875,0.25,0.5,0.75,0.375,0.4375,43.75,NEUTRAL,MEDIUM,43.75,0,0.0073,-0.0006,0.0012,-0.0026,-0.0034999999999999996
GOOGL,Alphabet Inc.,2013-06-17,22.01,85766148,0.93,9.57,128.07,-1.95,9.71,26.12,57.95,18.7,52.61,0.14,0.18,-0.03,Communication Services,Internet Content & Information,0.625,0.5,0.125,0.875,0.875,0.675,100.0,STRONG_BUY,HIGH,67.5,1,0.0073,-0.0006,0.0012,-0.0026,-0.0034999999999999996
META,Meta Platforms Inc.,2013-06-17,23.85,33664500,0.44,8.54,51.95,-8.08,-9.32,-14.94,-11.92,31.14,49.35,-0.62,-0.72,0.09,Communication Services,Internet Content & Information,0.875,0.75,0.375,0.25,0.125,0.4625,62.5,BUY,MEDIUM,46.25,0,0.0073,-0.0006,0.0012,-0.0026,-0.0034999999999999996
MSFT,Microsoft Corporation,2013-06-17,28.62,49670100,1.05,9.75,212.71,2.7,25.43,31.09,23.81,19.6,49.8,0.45,0.61,-0.16,Technology,Software - Infrastructure,0.5,0.125,0.25,0.625,0.75,0.48750000000000004,75.0,BUY,MEDIUM,48.75000000000001,0,0.0073,-0.0006,0.0012,-0.0026,-0.0034999999999999996
NVDA,NVIDIA Corporation,2013-06-17,0.34,255336000,1.3,36.33,8.22,-0.45,16.04,16.94,21.08,25.36,48.98,0.0,0.0,-0.0,Technology,Semiconductors,0.0,0.375,0.875,0.5,0.25,0.3625,12.5,STRONG_SELL,HIGH,36.25,1,0.0073,-0.0006,0.0012,-0.0026,-0.0034999999999999996
TSLA,Tesla Inc.,2013-06-17,6.81,105993000,1.19,20.36,22.66,10.79,190.75,204.08,243.3,111.63,40.58,0.47,0.57,-0.09,Consumer Cyclical,Auto Manufacturers,0.1875,0.625,0.625,1.0,0.0,0.525,87.5,STRONG_BUY,HIGH,52.5,1,0.0073,-0.0006,0.0012,-0.0026,-0.0034999999999999996
UNH,UnitedHealth Group Inc.,2013-06-17,52.69,4975000,0.76,3.16,47.73,4.05,17.55,19.35,12.79,20.33,57.84,0.61,0.54,0.07,Healthcare,Healthcare Plans,0.75,0.0,0.75,0.375,0.5,0.4375,43.75,NEUTRAL,MEDIUM,43.75,0,0.0073,-0.0006,0.0012,-0.0026,-0.0034999999999999996
AAPL,Apple Inc.,2013-06-18,13.23,195025600,1.09,55.02,195.45,-0.34,-4.37,-14.25,-22.83,18.56,35.85,-0.05,0.01,-0.06,Technology,Consumer Electronics,0.375,0.875,0.0,0.125,0.75,0.43750000000000006,50.0,NEUTRAL,MEDIUM,43.75000000000001,0,0.008,0.0037,-0.0005,-0.0003,0.0003
AMZN,Amazon.com Inc.,2013-06-18,14.09,42922000,1.2,6.43,150.6,4.39,9.89,13.07,31.39,20.36,67.78,0.19,0.15,0.05,Consumer Cyclical,Internet Retail,0.25,0.125,0.625,0.75,0.375,0.4375,31.25,SELL,MEDIUM,43.75,0,0.008,0.0037,-0.0005,-0.0003,0.0003
GOOGL,Alphabet Inc.,2013-06-18,22.37,86589324,0.94,9.57,130.14,-0.94,11.01,28.3,61.1,18.52,66.66,0.18,0.18,0.0,Communication Services,Internet Content & Information,0.625,0.25,0.125,0.875,0.875,0.625,100.0,STRONG_BUY,HIGH,62.5,1,0.008,0.0037,-0.0005,-0.0003,0.0003
META,Meta Platforms Inc.,2013-06-18,24.04,36709100,0.42,8.54,52.36,-7.77,-8.81,-9.7,-14.42,30.72,57.96,-0.55,-0.68,0.13,Communication Services,Internet Content & Information,0.875,0.75,0.375,0.25,0.125,0.4625,62.5,BUY,MEDIUM,46.25,0,0.008,0.0037,-0.0005,-0.0003,0.0003
MSFT,Microsoft Corporation,2013-06-18,28.6,28616500,1.05,9.75,212.58,0.32,25.0,32.48,22.86,19.53,51.02,0.42,0.57,-0.15,Technology,Software - Infrastructure,0.5,0.375,0.5,0.625,0.625,0.5375,87.5,STRONG_BUY,HIGH,53.75,1,0.008,0.0037,-0.0005,-0.0003,0.0003
NVDA,NVIDIA Corporation,2013-06-18,0.34,486772000,1.31,36.33,8.16,-2.67,16.06,15.66,21.83,25.43,48.98,0.0,0.0,-0.0,Technology,Semiconductors,0.0,0.5,0.875,0.5,0.25,0.3875,12.5,STRONG_SELL,HIGH,38.75,1,0.008,0.0037,-0.0005,-0.0003,0.0003
TSLA,Tesla Inc.,2013-06-18,6.89,131929500,1.21,20.36,22.92,12.99,194.73,205.8,251.79,109.83,48.39,0.47,0.55,-0.08,Consumer Cyclical,Auto Manufacturers,0.125,0.625,0.25,1.0,0.0,0.475,75.0,BUY,MEDIUM,47.5,0,0.008,0.0037,-0.0005,-0.0003,0.0003
UNH,UnitedHealth Group Inc.,2013-06-18,53.76,5183300,0.76,3.16,48.7,4.98,19.57,22.53,12.67,20.22,63.53,0.73,0.58,0.15,Healthcare,Healthcare Plans,0.75,0.0,0.75,0.375,0.5,0.4375,31.25,SELL,MEDIUM,43.75,0,0.008,0.0037,-0.0005,-0.0003,0.0003
AAPL,Apple Inc.,2013-06-19,12.96,310940000,1.09,55.02,191.48,-4.5,-5.81,-17.45,-24.74,19.31,20.66,-0.08,-0.01,-0.07,Technology,Consumer Electronics,0.375,0.875,0.0,0.125,0.75,0.43750000000000006,25.0,SELL,MEDIUM,43.75000000000001,0,-0.0128,0.0019,0.0015,-0.001,-0.003
AMZN,Amazon.com Inc.,2013-06-19,13.91,56550000,1.19,6.43,148.68,3.93,8.12,9.57,27.39,20.83,61.82,0.19,0.16,0.04,Consumer Cyclical,Internet Retail,0.1875,0.375,0.5,0.75,0.375,0.4625,37.5,SELL,MEDIUM,46.25,0,-0.0128,0.0019,0.0015,-0.001,-0.003
GOOGL,Alphabet Inc.,2013-06-19,22.37,116519364,0.93,9.57,130.15,-0.86,10.55,24.96,59.55,18.42,65.82,0.21,0.18,0.02,Communication Services,Internet Content & Information,0.625,0.25,0.125,0.875,0.875,0.625,100.0,STRONG_BUY,HIGH,62.5,1,-0.0128,0.0019,0.0015,-0.001,-0.003
META,Meta Platforms Inc.,2013-06-19,24.14,31790600,0.37,8.54,52.58,-5.63,-5.99,-9.12,-18.99,30.17,47.31,-0.49,-0.64,0.16,Communication Services,Internet Content & Information,0.875,0.75,0.625,0.25,0.125,0.48750000000000004,75.0,BUY,MEDIUM,48.75000000000001,0,-0.0128,0.0019,0.0015,-0.001,-0.003
MSFT,Microsoft Corporation,2013-06-19,28.28,30816200,1.04,9.75,210.21,-1.4,23.0,29.6,18.73,19.41,45.7,0.37,0.53,-0.16,Technology,Software - Infrastructure,0.5,0.5,0.375,0.5,0.625,0.5125,87.5,STRONG_BUY,HIGH,51.24999999999999,1,-0.0128,0.0019,0.0015,-0.001,-0.003
NVDA,NVIDIA Corporation,2013-06-19,0.35,1159588000,1.26,36.33,8.41,0.51,18.19,19.67,22.89,26.36,54.75,0.0,0.0,-0.0,Technology,Semiconductors,0.0,0.0,0.75,0.625,0.25,0.3125,12.5,STRONG_SELL,HIGH,31.25,1,-0.0128,0.0019,0.0015,-0.001,-0.003
TSLA,Tesla Inc.,2013-06-19,6.98,128683500,1.19,20.36,23.21,16.39,191.18,204.3,249.98,106.67,49.66,0.46,0.53,-0.07,Consumer Cyclical,Auto Manufacturers,0.1875,0.625,0.25,1.0,0.0,0.48749999999999993,62.5,BUY,MEDIUM,48.74999999999999,0,-0.0128,0.0019,0.0015,-0.001,-0.003
UNH,UnitedHealth Group Inc.,2013-06-19,53.42,6370200,0.76,3.16,48.39,4.78,19.44,21.05,12.62,20.4,55.05,0.78,0.62,0.16,Healthcare,Healthcare Plans,0.75,0.125,0.875,0.375,0.5,0.47500000000000003,50.0,NEUTRAL,MEDIUM,47.5,0,-0.0128,0.0019,0.0015,-0.001,-0.003
AAPL,Apple Inc.,2013-06-20,12.77,357310800,1.07,55.02,188.69,-5.19,-7.32,-20.95,-27.31,19.17,18.98,-0.12,-0.03,-0.09,Technology,Consumer Electronics,0.375,0.875,0.0,0.125,0.75,0.43750000000000006,25.0,SELL,MEDIUM,43.75000000000001,0,-0.0245,0.0007000000000000001,0.0039000000000000003,0.0005,-0.0011
AMZN,Amazon.com Inc.,2013-06-20,13.67,59680000,1.17,6.43,146.16,1.7,7.91,5.01,22.81,21.59,54.22,0.17,0.16,0.01,Consumer Cyclical,Internet Retail,0.25,0.375,0.625,0.75,0.375,0.4875,62.5,BUY,MEDIUM,48.75,0,-0.0245,0.0007000000000000001,0.0039000000000000003,0.0005,-0.0011
GOOGL,Alphabet Inc.,2013-06-20,21.97,134745120,0.92,9.57,127.85,-2.45,9.06,22.7,54.99,18.49,56.14,0.19,0.19,0.01,Communication Services,Internet Content & Information,0.625,0.25,0.125,0.875,0.875,0.625,100.0,STRONG_BUY,HIGH,62.5,1,-0.0245,0.0007000000000000001,0.0039000000000000003,0.0005,-0.0011
META,Meta Platforms Inc.,2013-06-20,23.73,42765600,0.38,8.54,51.69,-6.86,-7.15,-13.75,-23.91,30.21,45.18,-0.46,-0.61,0.15,Communication Services,Internet Content & Information,0.875,0.75,0.5,0.25,0.125,0.4750000000000001,50.0,NEUTRAL,MEDIUM,47.50000000000001,0,-0.0245,0.0007000000000000001,0.0039000000000000003,0.0005,-0.0011
MSFT,Microsoft Corporation,2013-06-20,27.38,54493700,1.05,9.75,203.53,-3.9,19.97,23.38,15.65,21.48,38.42,0.26,0.48,-0.22,Technology,Software - Infrastructure,0.5,0.5,0.25,0.5,0.5,0.475,37.5,SELL,MEDIUM,47.5,0,-0.0245,0.0007000000000000001,0.0039000000000000003,0.0005,-0.0011
NVDA,NVIDIA Corporation,2013-06-20,0.34,628696000,1.25,36.33,8.19,-3.22,16.85,16.26,18.52,27.34,49.39,0.0,0.0,-0.0,Technology,Semiconductors,0.0,0.0,0.875,0.625,0.25,0.325,12.5,STRONG_SELL,HIGH,32.5,1,-0.0245,0.0007000000000000001,0.0039000000000000003,0.0005,-0.0011
TSLA,Tesla Inc.,2013-06-20,6.71,151597500,1.21,20.36,22.32,14.91,179.51,190.98,216.11,108.06,53.97,0.43,0.51,-0.08,Consumer Cyclical,Auto Manufacturers,0.125,0.625,0.375,1.0,0.0,0.48750000000000004,81.25,STRONG_BUY,HIGH,48.75000000000001,1,-0.0245,0.0007000000000000001,0.0039000000000000003,0.0005,-0.0011
UNH,UnitedHealth Group Inc.,2013-06-20,52.22,5748300,0.77,3.16,47.3,1.93,16.38,17.07,9.13,19.53,58.82,0.71,0.64,0.08,Healthcare,Healthcare Plans,0.75,0.125,0.75,0.375,0.625,0.48750000000000004,81.25,STRONG_BUY,HIGH,48.75000000000001,1,-0.0245,0.0007000000000000001,0.0039000000000000003,0.0005,-0.0011
AAPL,Apple Inc.,2013-06-21,12.67,481118400,1.07,55.02,187.18,-6.31,-9.89,-20.45,-28.09,19.15,16.38,-0.16,-0.06,-0.1,Technology,Consumer Electronics,0.375,0.875,0.0,0.125,0.75,0.43750000000000006,25.0,SELL,MEDIUM,43.75000000000001,0,0.0013,0.0023,-0.001,-0.0013,0.0013
AMZN,Amazon.com Inc.,2013-06-21,13.67,84020000,1.17,6.43,146.11,3.95,6.06,5.96,22.02,21.57,56.74,0.16,0.16,-0.0,Consumer Cyclical,Internet Retail,0.25,0.25,0.5,0.75,0.375,0.44999999999999996,37.5,SELL,MEDIUM,44.99999999999999,0,0.0013,0.0023,-0.001,-0.0013,0.0013
GOOGL,Alphabet Inc.,2013-06-21,21.88,159132708,0.92,9.57,127.3,-0.95,8.72,22.33,51.48,18.52,56.03,0.17,0.18,-0.01,Communication Services,Internet Content & Information,0.625,0.375,0.125,0.875,0.875,0.65,100.0,STRONG_BUY,HIGH,65.0,1,0.0013,0.0023,-0.001,-0.0013,0.0013
META,Meta Platforms Inc.,2013-06-21,24.36,45833900,0.38,8.54,53.05,-2.5,-4.66,-10.51,-23.13,31.47,57.08,-0.39,-0.56,0.18,Communication Services,Internet Content & Information,0.875,0.75,0.625,0.25,0.125,0.48750000000000004,68.75,BUY,MEDIUM,48.75000000000001,0,0.0013,0.0023,-0.001,-0.0013,0.0013
MSFT,Microsoft Corporation,2013-06-21,27.2,85338500,1.04,9.75,202.19,-3.87,18.6,23.69,11.67,21.35,29.36,0.15,0.41,-0.26,Technology,Software - Infrastructure,0.5,0.5,0.25,0.625,0.5,0.5125,87.5,STRONG_BUY,HIGH,51.24999999999999,1,0.0013,0.0023,-0.001,-0.0013,0.0013
NVDA,NVIDIA Corporation,2013-06-21,0.34,714228000,1.22,36.33,8.18,0.14,16.13,15.27,10.85,27.35,49.39,0.0,0.0,-0.0,Technology,Semiconductors,0.0,0.125,0.875,0.5,0.25,0.3125,12.5,STRONG_SELL,HIGH,31.25,1,0.0013,0.0023,-0.001,-0.0013,0.0013
TSLA,Tesla Inc.,2013-06-21,6.64,175779000,1.21,20.36,22.07,14.11,171.85,187.63,210.22,85.44,60.75,0.4,0.49,-0.09,Consumer Cyclical,Auto Manufacturers,0.125,0.625,0.375,1.0,0.0,0.48750000000000004,68.75,BUY,MEDIUM,48.75000000000001,0,0.0013,0.0023,-0.001,-0.0013,0.0013
UNH,UnitedHealth Group Inc.,2013-06-21,52.3,7806500,0.76,3.16,47.38,3.05,17.85,18.24,7.78,19.34,58.46,0.66,0.64,0.02,Healthcare,Healthcare Plans,0.75,0.0,0.75,0.375,0.625,0.4625,50.0,NEUTRAL,MEDIUM,46.25,0,0.0013,0.0023,-0.001,-0.0013,0.0013
AAPL,Apple Inc.,2013-06-24,12.33,480746000,1.08,55.02,182.22,-8.96,-12.59,-21.88,-29.8,20.26,13.97,-0.21,-0.09,-0.12,Technology,Consumer Electronics,0.375,0.875,0.0,0.125,0.625,0.41250000000000003,25.0,SELL,MEDIUM,41.25,0,-0.011899999999999999,0.0002,-0.0066,0.0024,-0.0014000000000000002
AMZN,Amazon.com Inc.,2013-06-24,13.53,77276000,1.17,6.43,144.64,3.37,5.7,3.48,21.34,21.54,54.95,0.13,0.15,-0.02,Consumer Cyclical,Internet Retail,0.25,0.125,0.375,0.75,0.5,0.43749999999999994,37.5,SELL,MEDIUM,43.74999999999999,0,-0.011899999999999999,0.0002,-0.0066,0.0024,-0.0014000000000000002
GOOGL,Alphabet Inc.,2013-06-24,21.6,120555324,0.92,9.57,125.69,-1.47,7.43,20.41,50.61,18.66,54.74,0.13,0.17,-0.04,Communication Services,Internet Content & Information,0.625,0.25,0.125,0.875,0.875,0.625,100.0,STRONG_BUY,HIGH,62.5,1,-0.011899999999999999,0.0002,-0.0066,0.0024,-0.0014000000000000002
META,Meta Platforms Inc.,2013-06-24,23.77,40626000,0.39,8.54,51.78,-4.47,-4.74,-12.5,-24.24,31.93,54.15,-0.37,-0.52,0.16,Communication Services,Internet Content & Information,0.875,0.75,0.5,0.25,0.125,0.4750000000000001,62.5,BUY,MEDIUM,47.50000000000001,0,-0.011899999999999999,0.0002,-0.0066,0.0024,-0.0014000000000000002
MSFT,Microsoft Corporation,2013-06-24,27.57,56109000,1.02,9.75,204.93,-1.26,20.58,23.69,12.34,21.66,38.39,0.09,0.35,-0.26,Technology,Software - Infrastructure,0.5,0.375,0.25,0.625,0.375,0.4625,50.0,NEUTRAL,MEDIUM,46.25,0,-0.011899999999999999,0.0002,-0.0066,0.0024,-0.0014000000000000002
NVDA,NVIDIA Corporation,2013-06-24,0.33,580772000,1.23,36.33,8.01,-3.49,14.36,12.97,6.85,24.74,43.59,0.0,0.0,-0.0,Technology,Semiconductors,0.0,0.5,0.875,0.375,0.25,0.35,12.5,STRONG_SELL,HIGH,35.0,1,-0.011899999999999999,0.0002,-0.0066,0.0024,-0.0014000000000000002
TSLA,Tesla Inc.,2013-06-24,6.77,106797000,1.19,20.36,22.5,9.45,170.42,194.77,200.44,80.85,60.37,0.38,0.47,-0.09,Consumer Cyclical,Auto Manufacturers,0.125,0.625,0.625,1.0,0.0,0.5125,75.0,BUY,MEDIUM,51.24999999999999,0,-0.011899999999999999,0.0002,-0.0066,0.0024,-0.0014000000000000002
UNH,UnitedHealth Group Inc.,2013-06-24,52.92,5717100,0.74,3.16,47.93,4.13,18.36,17.54,10.25,19.19,65.19,0.66,0.65,0.02,Healthcare,Healthcare Plans,0.75,0.0,0.75,0.5,0.75,0.525,87.5,STRONG_BUY,HIGH,52.5,1,-0.011899999999999999,0.0002,-0.0066,0.0024,-0.0014000000000000002
AAPL,Apple Inc.,2013-06-25,12.33,314162800,1.1,55.02,182.26,-9.55,-12.11,-21.5,-28.8,20.17,15.07,-0.25,-0.12,-0.13,Technology,Consumer Electronics,0.375,0.875,0.0,0.125,0.625,0.41250000000000003,37.5,SELL,MEDIUM,41.25,0,0.0096,0.0005,0.0083,-0.0037,0.0028000000000000004
AMZN,Amazon.com Inc.,2013-06-25,13.6,48992000,1.19,6.43,145.44,3.95,4.53,5.9,23.36,21.57,54.96,0.11,0.14,-0.03,Consumer Cyclical,Internet Retail,0.125,0.125,0.375,0.75,0.375,0.3875,18.75,STRONG_SELL,HIGH,38.75,1,0.0096,0.0005,0.0083,-0.0037,0.0028000000000000004
GOOGL,Alphabet Inc.,2013-06-25,21.51,102025872,0.91,9.57,125.17,-0.82,6.62,21.04,53.25,18.68,52.81,0.09,0.16,-0.06,Communication Services,Internet Content & Information,0.625,0.25,0.125,0.875,0.875,0.625,100.0,STRONG_BUY,HIGH,62.5,1,0.0096,0.0005,0.0083,-0.0037,0.0028000000000000004
META,Meta Platforms Inc.,2013-06-25,24.08,24713200,0.42,8.54,52.45,-0.25,-3.81,-7.65,-23.84,32.18,64.21,-0.33,-0.48,0.16,Communication Services,Internet Content & Information,0.875,0.75,0.625,0.25,0.125,0.48750000000000004,68.75,BUY,MEDIUM,48.75000000000001,0,0.0096,0.0005,0.0083,-0.0037,0.0028000000000000004
MSFT,Microsoft Corporation,2013-06-25,27.53,44073400,1.01,9.75,204.62,-1.75,20.41,24.54,15.12,21.5,39.55,0.04,0.29,-0.24,Technology,Software - Infrastructure,0.5,0.375,0.25,0.625,0.5,0.48749999999999993,50.0,NEUTRAL,MEDIUM,48.74999999999999,0,0.0096,0.0005,0.0083,-0.0037,0.0028000000000000004
NVDA,NVIDIA Corporation,2013-06-25,0.33,457360000,1.2,36.33,8.06,-2.2,14.34,16.44,12.72,24.1,51.19,0.0,0.0,-0.0,Technology,Semiconductors,0.0,0.5,0.875,0.5,0.25,0.3875,18.75,STRONG_SELL,HIGH,38.75,1,0.0096,0.0005,0.0083,-0.0037,0.0028000000000000004
TSLA,Tesla Inc.,2013-06-25,6.83,87730500,1.15,20.36,22.7,5.48,170.47,201.18,218.11,70.29,60.84,0.36,0.45,-0.08,Consumer Cyclical,Auto Manufacturers,0.25,0.625,0.5,1.0,0.0,0.525,87.5,STRONG_BUY,HIGH,52.5,1,0.0096,0.0005,0.0083,-0.0037,0.0028000000000000004
UNH,UnitedHealth Group Inc.,2013-06-25,52.16,4959100,0.72,3.16,47.25,3.14,15.02,16.77,11.03,19.52,62.86,0.6,0.64,-0.04,Healthcare,Healthcare Plans,0.75,0.0,0.75,0.375,0.75,0.48750000000000004,68.75,BUY,MEDIUM,48.75000000000001,0,0.0096,0.0005,0.0083,-0.0037,0.0028000000000000004
AAPL,Apple Inc.,2013-06-26,12.19,367724000,1.08,55.02,180.2,-9.82,-11.36,-22.52,-30.15,19.4,15.6,-0.29,-0.15,-0.13,Technology,Consumer Electronics,0.375,0.875,0.0,0.125,0.75,0.43750000000000006,37.5,SELL,MEDIUM,43.75000000000001,0,0.0092,-0.006999999999999999,-0.0017000000000000001,0.0008,0.0017000000000000001
